ListFormatIsList,SpecialSymbolsCount,WordsCount,SymbolCount,Lowercase,Uppercase,LastSymbolPd,FirstKeyWord,PrevElementMark,CurElementMark,FullBold,Alignment,KeepLinesTogether,LeftIndentation,LineSpacing,NoSpaceBetweenParagraphsOfSameStyle,OutlineLevel,RightIndentation,SpaceAfter,SpaceBefore,SpecialIndentation
FALSE,1,3,47,TRUE,FALSE,,,b0,b0,FALSE,Left,FALSE,38,1,FALSE,BodyText,0,0,"2,9000000000000004",0
FALSE,2,7,60,FALSE,FALSE,,,b0,b0,FALSE,Left,FALSE,38,1,FALSE,BodyText,0,0,15.9,0
FALSE,0,3,18,FALSE,FALSE,,,n0,c1,FALSE,Right,FALSE,0,1,FALSE,BodyText,"7,3500000000000005",0,0,0
FALSE,0,3,27,FALSE,FALSE,,,n0,b0,TRUE,Center,FALSE,0,1,FALSE,BodyText,"2,6500000000000004",0,0.05,0
FALSE,1,7,75,FALSE,FALSE,,,b0,b0,TRUE,Center,FALSE,90,1.4875,FALSE,BodyText,"92,55000000000001",0,15.9,0
FALSE,3,8,61,FALSE,FALSE,,,n0,c1,FALSE,Right,FALSE,324.1,1.4875,FALSE,BodyText,"7,3500000000000005",0,0.05,"3,8000000000000003"
FALSE,0,6,49,FALSE,FALSE,,,c1,c1,FALSE,Right,FALSE,279.95,1.4875,FALSE,BodyText,"7,3500000000000005",0,0,55.1
FALSE,5,5,63,FALSE,FALSE,,,b0,b0,FALSE,Center,FALSE,134,1.4875,FALSE,BodyText,"136,70000000000002",0,7.9,-0.4
FALSE,0,3,33,TRUE,FALSE,,,n0,b0,FALSE,Center,FALSE,0,1,FALSE,BodyText,"2,9000000000000004",0,0,0
FALSE,1,4,21,FALSE,FALSE,,,n0,c1,FALSE,Right,FALSE,"234,35000000000002",1.4875,FALSE,BodyText,7.4,0,0,"-20,650000000000002"
FALSE,0,1,4,TRUE,TRUE,,TitleLevel1,b0,b0,FALSE,Center,FALSE,0,1,FALSE,BodyText,"1,9500000000000002",0,7.9,0
FALSE,1,1,15,FALSE,FALSE,,,n0,b0,FALSE,Center,FALSE,12.4,1,FALSE,BodyText,0,0,0.05,0
TRUE,0,10,72,FALSE,FALSE,,,a2,a3,FALSE,Left,FALSE,5,1.4875,FALSE,BodyText,7.4,0,8,0
FALSE,2,14,99,TRUE,FALSE,,,a1,a2,FALSE,Left,FALSE,5,1.4875,FALSE,BodyText,7.2,0,14.9,0
